Apartment,BLDG NO. / APT NO.,TERM,PRICE,AVAILABLE,Floor,FEATURES
Cadiz,04 2101,13 mo.,$4065,03/28/2025,1th Floor,"1st Floor, Corner/End Location, Dog Friendly, Elevator, Hardwood-Style Floor - Living, Kitchen island, Park View, Stainless Steel Appliances, Washer & Dryer In Home"
Cadiz,04 1334,11 mo.,$3995,05/10/2025,3th Floor,"3rd Floor, Elevator, Hardwood-Style Floor - Living, Stainless Steel Appliances, Washer & Dryer In Home"
Cadiz,04 1158,12 mo.,$4095,04/05/2025,1th Floor,"1st Floor, Elevator, Hardwood-Style Floor - Living, Park View, Stainless Steel Appliances, Washer & Dryer In Home"
Cadiz,04 1239,11 mo.,$4105,05/09/2025,2th Floor,"2nd Floor, Corner/End Location, Dog Friendly, Elevator, Hardwood-Style Floor - Living, Stainless Steel Appliances, Washer & Dryer In Home"
Cadiz,04 2302,12 mo.,$4105,04/17/2025,3th Floor,"3rd Floor, Corner/End Location, Courtyard view, Elevator, Hardwood-Style Floor - Living, Stainless Steel Appliances, Washer & Dryer In Home"
Milano,03 1282,12 mo.,$3735,04/02/2025,2th Floor,"2nd Floor, Dog Friendly, Elevator, Granite Countertops, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1457,13 mo.,$4105,03/21/2025,4th Floor,"4th Floor, Corner/End Location, Elevator, Extra Patio/Balcony, Granite Countertops, Pool view, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1359,12 mo.,$3810,04/05/2025,3th Floor,"3rd Floor, Courtyard view, Elevator, Extra Patio/Balcony, Granite Countertops, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1425,12 mo.,$3885,04/06/2025,4th Floor,"4th Floor, Courtyard view, Elevator, Extra Patio/Balcony, Granite Countertops, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1410,12 mo.,$3885,04/17/2025,4th Floor,"4th Floor, Elevator, Granite Countertops, Park View, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1453,12 mo.,$3885,05/16/2025,4th Floor,"4th Floor, Courtyard view, Elevator, Extra Patio/Balcony, Granite Countertops, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1294,12 mo.,$3965,04/05/2025,2th Floor,"2nd Floor, Corner/End Location, Elevator, Granite Countertops, Park View, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1427,13 mo.,$4145,03/31/2025,4th Floor,"4th Floor, Corner/End Location, Courtyard view, Elevator, Granite Countertops, Pool view, Walk-in Closet, Washer & Dryer In Home"
Milano,03 1380,12 mo.,$4070,04/17/2025,3th Floor,"3rd Floor, Corner/End Location, Courtyard view, Elevator, Granite Countertops, Pool view, Walk-in Closet, Washer & Dryer In Home"
Mirada,02 1129,14 mo.,$4070,03/26/2025,1th Floor,"1st Floor, Corner/End Location, Dog Friendly, Elevator, Granite Countertops, Hardwood-Style Floor - Living, Kitchen island, Large patio/balcony, No Neighbors Below, Stainless Steel Appliances, Washer & Dryer In Home"
Mirada,02 1164,13 mo.,$4070,04/04/2025,1th Floor,"1st Floor, Corner/End Location, Elevator, Granite Countertops, Hardwood-Style Floor - Living, Kitchen island, Large patio/balcony, No Neighbors Below, Stainless Steel Appliances, Washer & Dryer In Home"
Tesoro,01 1211,12 mo.,$3855,04/30/2025,2th Floor,"2nd Floor, Dog Friendly, Elevator, Granite Countertops, Patio/Balcony, Washer & Dryer In Home"
Tesoro,01 1133,13 mo.,$4055,03/12/2025,1th Floor,"1st Floor, Corner/End Location, Dog Friendly, Elevator, Granite Countertops, No Neighbors Below, Park View, Patio/Balcony, Washer & Dryer In Home"
Tesoro,01 1321,13 mo.,$4085,03/09/2025,3th Floor,"3rd Floor, Corner/End Location, Courtyard view, Elevator, Granite Countertops, Partial Pool View, Patio/Balcony, Washer & Dryer In Home"
Tesoro,01 2412,13 mo.,$4185,03/09/2025,4th Floor,"4th Floor, Corner/End Location, Courtyard view, Elevator, Granite Countertops, High Ceilings, No Neighbors Above, Patio/Balcony, Washer & Dryer In Home"
Toscana,05 1441,13 mo.,$3795,04/14/2025,4th Floor,"4th Floor, Corner/End Location, Courtyard view, Elevator, Hardwood-Style Floor - Living, Patio/Balcony, Washer & Dryer In Home"
Toscana,05 1224,13 mo.,$3780,04/16/2025,2th Floor,"2nd Floor, Elevator, Hardwood-Style Floor - Living, Patio/Balcony, Pool view, Washer & Dryer In Home"
Toscana,05 1159,13 mo.,$4115,04/06/2025,1th Floor,"1st Floor, Corner/End Location, Dog Friendly, Elevator, Hardwood-Style Floor - Living, Stainless Steel Appliances, Washer & Dryer In Home"
Toscana,05 1281,13 mo.,$3670,04/10/2025,2th Floor,"2nd Floor, Corner/End Location, Courtyard view, Elevator, Hardwood-Style Floor - Living, Patio/Balcony, Pool view, Washer & Dryer In Home"
Toscana,05 1481,13 mo.,$3770,04/14/2025,4th Floor,"4th Floor, Corner/End Location, Courtyard view, Elevator, Hardwood-Style Floor - Living, Patio/Balcony, Pool view, Washer & Dryer In Home"
Verona,06 3099,13 mo.,$4025,04/09/2025,3th Floor,"3rd Floor, Creek View, Elevator, Hardwood-Style Floor - Living, Kitchen island, Park View, Patio/Balcony, Stainless Steel Appliances, Washer & Dryer In Home"
